site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840181270024,0,10,20141128T0100-0600,88101,60,0,6.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141127T0100-0600,88101,60,0,42.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141127T0100-0600,88101,60,0,20.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141126T0100-0600,88101,60,0,11.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141126T0100-0600,88101,60,0,8.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141125T0100-0600,88101,60,0,11.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141125T0100-0600,88101,60,0,9.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141124T0100-0600,88101,60,0,4.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141123T0100-0600,88101,60,0,17.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141123T0100-0600,88101,60,0,14.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141122T0100-0600,88101,60,0,16.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141122T0100-0600,88101,60,0,9.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141121T0100-0600,88101,60,0,8.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141121T0100-0600,88101,60,0,1.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141120T0100-0600,88101,60,0,3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141120T0100-0600,88101,60,0,2.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141119T0100-0600,88101,60,0,9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141119T0100-0600,88101,60,0,7.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141118T0100-0600,88101,60,0,5.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141118T0100-0600,88101,60,0,2.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141117T0100-0600,88101,60,0,21.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141117T0100-0600,88101,60,0,25.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141116T0100-0600,88101,60,0,25.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141116T0100-0600,88101,60,0,13.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141115T0100-0600,88101,60,0,25.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141115T0100-0600,88101,60,0,22.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141114T0100-0600,88101,60,0,8.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141114T0100-0600,88101,60,0,2.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141113T0100-0600,88101,60,0,10.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141113T0100-0600,88101,60,0,4.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141112T0100-0600,88101,60,0,12.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141112T0100-0600,88101,60,0,-.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141111T0100-0600,88101,60,0,8.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141111T0100-0600,88101,60,0,3.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141110T0100-0600,88101,60,0,8.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141109T0100-0600,88101,60,0,9.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141108T0100-0600,88101,60,0,8.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141107T0100-0600,88101,60,0,24.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141106T0100-0600,88101,60,0,6.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141106T0100-0600,88101,60,0,2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141105T0100-0600,88101,60,0,6.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141105T0100-0600,88101,60,0,5.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141104T0100-0600,88101,60,0,13.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141104T0100-0600,88101,60,0,15,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141103T0100-0600,88101,60,0,6.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141103T0100-0600,88101,60,0,5.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141102T0100-0600,88101,60,0,25.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141102T0100-0600,88101,60,0,21.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840181270024,0,10,20141031T0100-0600,88101,60,0,10.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141031T0100-0600,88101,60,0,20.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141030T0100-0600,88101,60,0,22.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141029T0100-0600,88101,60,0,5.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141028T0100-0600,88101,60,0,13.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141027T0100-0600,88101,60,0,7.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141026T0100-0600,88101,60,0,20.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141025T0100-0600,88101,60,0,17.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141024T0100-0600,88101,60,0,15.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141023T0100-0600,88101,60,0,23.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141022T0100-0600,88101,60,0,10.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141021T0100-0600,88101,60,0,3.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141020T0100-0600,88101,60,0,6.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141019T0100-0600,88101,60,0,8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141018T0100-0600,88101,60,0,4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141017T0100-0600,88101,60,0,5.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141016T0100-0600,88101,60,0,4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141015T0100-0600,88101,60,0,4.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141014T0100-0600,88101,60,0,.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141013T0100-0600,88101,60,0,11.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141012T0100-0600,88101,60,0,12.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141011T0100-0600,88101,60,0,15,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141010T0100-0600,88101,60,0,7.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141009T0100-0600,88101,60,0,13.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141008T0100-0600,88101,60,0,11.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141007T0100-0600,88101,60,0,6.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141006T0100-0600,88101,60,0,2.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141005T0100-0600,88101,60,0,4.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141004T0100-0600,88101,60,0,6.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141003T0100-0600,88101,60,0,0,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141002T0100-0600,88101,60,0,9.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840181270024,0,10,20141001T0100-0600,88101,60,0,5.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840181270024,0,10,20140930T0100-0600,88101,60,0,2.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840181270024,0,10,20140929T0100-0600,88101,60,0,31.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140929T0100-0600,88101,60,0,34.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140928T0100-0600,88101,60,0,23.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140928T0100-0600,88101,60,0,31.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140927T0100-0600,88101,60,0,15.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140927T0100-0600,88101,60,0,21.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140926T0100-0600,88101,60,0,21.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140926T0100-0600,88101,60,0,20.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140925T0100-0600,88101,60,0,12.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140925T0100-0600,88101,60,0,17.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140924T0100-0600,88101,60,0,11.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140924T0100-0600,88101,60,0,16.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140923T0100-0600,88101,60,0,8.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140923T0100-0600,88101,60,0,16.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140922T0100-0600,88101,60,0,4.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140922T0100-0600,88101,60,0,8.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140921T0100-0600,88101,60,0,10.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140921T0100-0600,88101,60,0,12.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140920T0100-0600,88101,60,0,16.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140920T0100-0600,88101,60,0,17.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140919T0100-0600,88101,60,0,16.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140919T0100-0600,88101,60,0,17.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140918T0100-0600,88101,60,0,10,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140918T0100-0600,88101,60,0,28.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140917T0100-0600,88101,60,0,9.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140917T0100-0600,88101,60,0,18.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140916T0100-0600,88101,60,0,8.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140916T0100-0600,88101,60,0,12.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140915T0100-0600,88101,60,0,7.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140915T0100-0600,88101,60,0,19.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140914T0100-0600,88101,60,0,25.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140914T0100-0600,88101,60,0,34.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140913T0100-0600,88101,60,0,5.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140913T0100-0600,88101,60,0,25.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140912T0100-0600,88101,60,0,2.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140912T0100-0600,88101,60,0,7.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140911T0100-0600,88101,60,0,10.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140911T0100-0600,88101,60,0,15.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140910T0100-0600,88101,60,0,15.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140910T0100-0600,88101,60,0,23.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140909T0100-0600,88101,60,0,14.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140909T0100-0600,88101,60,0,17.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140908T0100-0600,88101,60,0,13.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140908T0100-0600,88101,60,0,21.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140907T0100-0600,88101,60,0,20.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140907T0100-0600,88101,60,0,16.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140906T0100-0600,88101,60,0,.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140906T0100-0600,88101,60,0,12.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140905T0100-0600,88101,60,0,16.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140905T0100-0600,88101,60,0,19.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140904T0100-0600,88101,60,0,11.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140904T0100-0600,88101,60,0,16,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140903T0100-0600,88101,60,0,7.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140903T0100-0600,88101,60,0,10.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140902T0100-0600,88101,60,0,4.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140902T0100-0600,88101,60,0,8.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140901T0100-0600,88101,60,0,7.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20140901T0100-0600,88101,60,0,11,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20140831T0100-0600,88101,60,0,5.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
