site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840170310001,0,10,20131207T0100-0600,61103,60,0,5.7,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131207T0100-0600,61103,60,0,8.4,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131206T0100-0600,61103,60,0,5.6,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131206T0100-0600,61103,60,0,7.5,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131206T0100-0600,61103,60,0,5.3,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131205T0100-0600,61103,60,0,12.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131205T0100-0600,61103,60,0,14.5,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131205T0100-0600,61103,60,0,11.5,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131204T0100-0600,61103,60,0,5.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131204T0100-0600,61103,60,0,4,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131204T0100-0600,61103,60,0,5.8,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131203T0100-0600,61103,60,0,5.5,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131203T0100-0600,61103,60,0,4.7,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131203T0100-0600,61103,60,0,5.1,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131202T0100-0600,61103,60,0,.9,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
